match_id,url
1955859,https://www.whoscored.com/matches/1955859/live/brazil-brasileir%C3%A3o-2026-cruzeiro-chapecoense-af
1955871,https://www.whoscored.com/matches/1955871/live/brazil-brasileir%C3%A3o-2026-remo-athletico-paranaense
1955853,https://www.whoscored.com/matches/1955853/live/brazil-brasileir%C3%A3o-2026-corinthians-atletico-mg
1955846,https://www.whoscored.com/matches/1955846/live/brazil-brasileir%C3%A3o-2026-vasco-da-gama-red-bull-bragantino
1955866,https://www.whoscored.com/matches/1955866/live/brazil-brasileir%C3%A3o-2026-coritiba-bahia
1955874,https://www.whoscored.com/matches/1955874/live/brazil-brasileir%C3%A3o-2026-flamengo-coritiba
1955895,https://www.whoscored.com/matches/1955895/live/brazil-brasileir%C3%A3o-2026-athletico-paranaense-mirassol
1955898,https://www.whoscored.com/matches/1955898/live/brazil-brasileir%C3%A3o-2026-bahia-botafogo-rj
1955892,https://www.whoscored.com/matches/1955892/live/brazil-brasileir%C3%A3o-2026-gremio-corinthians
1955880,https://www.whoscored.com/matches/1955880/live/brazil-brasileir%C3%A3o-2026-santos-fc-vitoria
1955886,https://www.whoscored.com/matches/1955886/live/brazil-brasileir%C3%A3o-2026-red-bull-bragantino-internacional
1955883,https://www.whoscored.com/matches/1955883/live/brazil-brasileir%C3%A3o-2026-palmeiras-chapecoense-af
1955877,https://www.whoscored.com/matches/1955877/live/brazil-brasileir%C3%A3o-2026-vasco-da-gama-atletico-mg
1955765,https://www.whoscored.com/matches/1955765/live/brazil-brasileir%C3%A3o-2026-botafogo-rj-mirassol
1955779,https://www.whoscored.com/matches/1955779/live/brazil-brasileir%C3%A3o-2026-internacional-sao-paulo
1955776,https://www.whoscored.com/matches/1955776/live/brazil-brasileir%C3%A3o-2026-cruzeiro-vitoria
1955785,https://www.whoscored.com/matches/1955785/live/brazil-brasileir%C3%A3o-2026-bahia-athletico-paranaense
1955782,https://www.whoscored.com/matches/1955782/live/brazil-brasileir%C3%A3o-2026-coritiba-vasco-da-gama
1955762,https://www.whoscored.com/matches/1955762/live/brazil-brasileir%C3%A3o-2026-fluminense-corinthians
1955768,https://www.whoscored.com/matches/1955768/live/brazil-brasileir%C3%A3o-2026-santos-fc-remo
1955788,https://www.whoscored.com/matches/1955788/live/brazil-brasileir%C3%A3o-2026-chapecoense-af-atletico-mg
1955771,https://www.whoscored.com/matches/1955771/live/brazil-brasileir%C3%A3o-2026-palmeiras-gremio
1955774,https://www.whoscored.com/matches/1955774/live/brazil-brasileir%C3%A3o-2026-red-bull-bragantino-flamengo
1955797,https://www.whoscored.com/matches/1955797/live/brazil-brasileir%C3%A3o-2026-sao-paulo-cruzeiro
