team,teamId,field,averageAge,possessionPct,aerialSuccessPct,aerialsTotal,aerialsWon,clearances,cornerAccuracyPct,cornersAccurate,cornersTotal,defensiveAerials,dispossessed,dribbleSuccessPct,dribbledPast,dribblesAttempted,dribblesLost,dribblesWon,foulsCommited,interceptions,offensiveAerials,offsidesCaught,passSuccessPct,passesAccurate,passesKey,passesTotal,rating,shotsBlocked,shotsOffTarget,shotsOnTarget,shotsTotal,tackleSuccessPct,tackleSuccessful,tackleUnsuccesful,tacklesTotal,throwInAccuracyPct,throwInsAccurate,throwInsTotal,touches
Man City,167,home,28.6,70.4,44.0,25.0,11.0,10.0,41.7,5.0,12.0,10.0,18.0,33.3,3.0,21.0,14.0,7.0,7.0,5.0,15.0,,91.0,647.0,25.0,711.0,6.93,14.0,12.0,5.0,31.0,83.3,15.0,3.0,18.0,95.0,19.0,20.0,946.0
Chelsea,15,away,25.3,29.6,56.0,25.0,14.0,53.0,0.0,,1.0,15.0,11.0,42.9,7.0,7.0,4.0,3.0,12.0,8.0,10.0,5.0,81.1,249.0,7.0,307.0,6.86,1.0,2.0,6.0,9.0,80.0,28.0,7.0,35.0,90.0,9.0,10.0,531.0
